id,name,category,price,stock,rating,reviews_count,created_at,image,promo
0,Кухонный гарнитур,кухня,15000,42,4.2,67,2025-03-15,/images/cabinet.jpg,
1,Мягкое кресло,гостиная,5000,0,3.7,0,2025-06-10,/images/chair.jpg,
2,Шкаф для одежды сейчас,спальня,8000,15,5,100,2025-01-20,/images/closet.jpg,
3,Диван для гостиной,гостиная,12000,33,4.8,78,2025-04-05,/images/sofa.jpg,
4,Стол обычный,комната,6000,64,3.5,19,2025-02-25,/images/table.jpg,
5,Тумбочка для цветов,гостиная,2000,0,2.9,0,2025-05-12,/images/TV-stand.jpg,
6,Дикий шкаф,спальня,10000,28,4.5,60,2025-07-01,/images/wardrobe.jpg,
7,Кухонный гарнитур 2,кухня,16000,95,3.2,88,2025-09-15,/images/cabinet2.jpg,
8,Мягкое кресло 2,гостиная,6000,176,4.1,41,2025-09-20,/images/chair2.jpg,
9,Шкаф для одежды сейчас 2,спальня,9000,53,3.8,72,2025-09-25,/images/closet2.jpg,
10,Диван для гостиной 2,гостиная,13000,3,4.6,65,2025-09-30,/images/sofa2.jpg,
11,Стол необычный,столовая,70000,81,5,1,2025-10-01,/images/table2.jpg,
12,Тумбочка для цветов 2,гостиная,3000,142,2.5,47,2025-10-03,/images/TV-stand2.jpg,
13,Дикий шкаф 2,спальня,11000,36,4.9,91,2025-10-05,/images/wardrobe2.jpg,
